icd_10_code,diagnosis_name
S92201B,"Drainage of Right Retina, Percutaneous Approach, Diagnostic"
V549XXS,High Dose Rate (HDR) Brachytherapy of Brain Stem using Iridium 192 (Ir-192)
T50B94,"Bypass Abdominal Aorta to Lower Extremity Artery with Synthetic Substitute, Open Approach"
X710XXS,"Drainage of Pineal Body with Drainage Device, Open Approach"
S52326F,"Release Left Shoulder Bursa and Ligament, Percutaneous Approach"
S37532S,"Dilation of Left External Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
A066,"Revision of Synthetic Substitute in Right Lower Femur, External Approach"
H44009,"Excision of Left Thorax Tendon, Open Approach, Diagnostic"
S06810S,Wound Management Treatment of Musculoskeletal System - Lower Back / Lower Extremity
A053,"Dilation of Left Posterior Tibial Artery with Four or More Intraluminal Devices, Open Approach"
S5500,"Revision of Synthetic Substitute in Right Hip Joint, Acetabular Surface, Percutaneous Approach"
S020XXB,"Alteration of Right Upper Leg, Percutaneous Approach"
S35321D,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Arterial Tissue, Open Approach"
T8386XD,"Reattachment of Right Hand Muscle, Open Approach"
S42215K,"Supplement Upper Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening"
B161,"Release Left Tibia, Open Approach"
H594,"Supplement Right Mandible with Synthetic Substitute, Open Approach"
S92209P,"Insertion of Feeding Device into Small Intestine, Via Natural or Artificial Opening Endoscopic"
S95202D,"Extirpation of Matter from Respiratory Tract, Percutaneous Endoscopic Approach"
S5402XS,"Revision of Autologous Tissue Substitute in Left Ulna, Percutaneous Approach"
V9106,"Revision of Nonautologous Tissue Substitute in Right Sacroiliac Joint, External Approach"
T588X1A,"Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach"
Z62891,"Occlusion of Duodenum, Open Approach"
W5649XD,"Removal of Drainage Device from Right Breast, Open Approach"
M14832,Change Packing Material on Left Inguinal Region
Z9482,"Fluoroscopy of Left Kidney, Ureter and Bladder using Low Osmolar Contrast"
V9202XS,"Occlusion of Right Ulnar Artery with Extraluminal Device, Percutaneous Approach"
S63256,"Measurement of Intracranial Temperature, Percutaneous Approach"
S61112S,"Drainage of Left Hand, Percutaneous Endoscopic Approach"
T194XXA,"Restriction of Right Axillary Lymphatic, Percutaneous Approach"
Y385X2D,"Drainage of Right Ear Skin, External Approach, Diagnostic"
S4630,"Restriction of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach"
S68421S,"Bypass Esophagus to Ileum, Open Approach"
F3175,"Removal of Synthetic Substitute from Right Breast, External Approach"
O450,"Introduction of Destructive Agent into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
Y36230D,"Destruction of Anterior Neck Subcutaneous Tissue and Fascia, Percutaneous Approach"
S82443J,"Release Right Renal Vein, Open Approach"
S3411,"Removal of Drainage Device from Neck, Percutaneous Endoscopic Approach"
H04131,"Revision of Intraluminal Device in Nose, Via Natural or Artificial Opening"
S32471B,"Release Right Fibula, Open Approach"
S61204A,Magnetic Resonance Imaging (MRI) of Right Ovary
S79131,"Inspection of Vagina and Cul-de-sac, Via Natural or Artificial Opening"
I63541,"Revision of Autologous Tissue Substitute in Upper Bursa and Ligament, Percutaneous Approach"
S86209,"Supplement Sacrococcygeal Joint with Autologous Tissue Substitute, Open Approach"
H702,"Occlusion of Right Hand Artery with Extraluminal Device, Open Approach"
M997,"Destruction of Left Humeral Shaft, Percutaneous Endoscopic Approach"
H31029,"Insertion of Ring External Fixation Device into Left Lower Femur, Open Approach"
V9343,"Resection of Left Cornea, External Approach"
S46101A,"Replacement of Upper Gingiva with Autologous Tissue Substitute, Percutaneous Approach"
J9622,"Dilation of Left Radial Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S70921S,"Revision of Intraluminal Device in Stomach, Via Natural or Artificial Opening"
T8450XD,"Division of Thoracic Nerve, Percutaneous Endoscopic Approach"
H402214,"Bypass Abdominal Aorta to Lower Extremity Artery with Autologous Venous Tissue, Open Approach"
T365X1,"Drainage of Left Thorax Bursa and Ligament, Open Approach, Diagnostic"
V4373XS,"Removal of Synthetic Substitute from Right Upper Extremity, External Approach"
O163,"Repair Left Pelvic Bone, Percutaneous Approach"
S026,"Excision of Trochlear Nerve, Percutaneous Endoscopic Approach, Diagnostic"
S85311,"Bypass Right Common Iliac Artery to Mesenteric Artery with Autologous Arterial Tissue, Open Approach"
S12000A,"Revision of Autologous Tissue Substitute in Left Breast, Via Natural or Artificial Opening"
S83131D,Fluoroscopy of Sternum using High Osmolar Contrast
O3452,"Reposition Left Brachial Vein, Percutaneous Endoscopic Approach"
E11621,"Reposition Sternum with Internal Fixation Device, Percutaneous Endoscopic Approach"
C8405,"Repair Left Sublingual Gland, Open Approach"
H44609,"Introduction of Electrolytic and Water Balance Substance into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
S99031B,"Alteration of Right Buttock with Autologous Tissue Substitute, Open Approach"
S82876H,"Revision of Infusion Device in Cerebral Ventricle, Percutaneous Endoscopic Approach"
H1873,"Drainage of Left Thumb Phalanx with Drainage Device, Percutaneous Endoscopic Approach"
V329,"Occlusion of Right Ulnar Artery, Percutaneous Approach"
S62251,"Occlusion of Left Hepatic Duct with Intraluminal Device, Open Approach"
S72126S,"Radiation Therapy, Lymphatic and Hematologic System, Beam Radiation"
T403X5,"Reposition Facial Nerve, Percutaneous Approach"
S36242D,"Supplement Olfactory Nerve with Autologous Tissue Substitute, Percutaneous Approach"
S99229P,"Excision of Neck, Percutaneous Endoscopic Approach, Diagnostic"
I69123,"Fragmentation in Left Fallopian Tube, Percutaneous Approach"
S5892,"Supplement Left Fibula with Nonautologous Tissue Substitute, Percutaneous Approach"
V289,"Excision of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic"
S209,"Insertion of External Fixation Device into Left Tarsal Joint, Percutaneous Approach"
V873XXA,"Extirpation of Matter from Head and Neck Tendon, Percutaneous Approach"
K277,"Fusion of Left Metatarsal-Tarsal Joint with Internal Fixation Device, Open Approach"
S30852,"Dilation of Face Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
S63433S,"Supplement Left Common Carotid Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
O3004,"Insertion of Other Device into Respiratory Tract, Percutaneous Endoscopic Approach"
M4313,"Drainage of Ampulla of Vater with Drainage Device, Via Natural or Artificial Opening"
B09,"Revision of Drainage Device in Stomach, Via Natural or Artificial Opening Endoscopic"
T23021D,Magnetic Resonance Imaging (MRI) of Right Shoulder
S72356P,"Drainage of Prepuce, Open Approach, Diagnostic"
S83411S,"Reattachment of Neck, Open Approach"
V9380XS,"Destruction of Left Hand Subcutaneous Tissue and Fascia, Open Approach"
S42253P,"Supplement Left Temporal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S66323D,"Replacement of Left Hand Vein with Autologous Tissue Substitute, Open Approach"
S37892,"Replacement of Left Lower Leg Tendon with Synthetic Substitute, Open Approach"
S31625A,"Reposition Right Mandible, External Approach"
M47896,"Repair Colic Vein, Percutaneous Approach"
S82156E,"Supplement Right Femoral Region with Synthetic Substitute, Percutaneous Endoscopic Approach"
S60051D,"Insertion of Infusion Device into Lumbosacral Disc, Percutaneous Endoscopic Approach"
T8062XD,"Revision of Intracardiac Pacemaker in Heart, External Approach"
S52335F,"Removal of Internal Fixation Device from Right Lower Femur, Open Approach"
S9002,"Removal of Infusion Device from Right Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach"
S0032XA,"Dilation of Left Peroneal Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
Z85850,"Supplement Atrial Septum with Synthetic Substitute, Percutaneous Approach"
S82112N,"Destruction of Abdomen Skin, External Approach"
W133XXA,"Repair Intracranial Vein, Open Approach"
S66518A,"Drainage of Left Ulna, Open Approach"
T23679,"Excision of Right Metacarpal, Percutaneous Endoscopic Approach"
T83090A,"Insertion of Internal Fixation Device into Left Temporal Bone, Percutaneous Endoscopic Approach"
I341,"Transfusion of Autologous Fresh Plasma into Central Vein, Open Approach"
K131,"Drainage of Larynx, Open Approach"
S62253B,"Ear, Nose, Sinus, Destruction"
C6290,"Supplement Right Lower Arm and Wrist Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach"
M84378P,"Introduction of Liquid Brachytherapy Radioisotope into Eye, Percutaneous Approach"
T22449S,"Removal of Radioactive Element from Upper Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach"
I69234,"Supplement Buccal Mucosa with Nonautologous Tissue Substitute, Open Approach"
V9304XD,"Dilation of Right Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
T23769S,Fluoroscopy of Bilateral Common Carotid Arteries using Low Osmolar Contrast
M6129,"Supplement Left External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
H4720,"Dilation of Left Renal Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S62161S,"Dilation of Left Temporal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
T563X1D,"Radiation Therapy, Female Reproductive System, Brachytherapy"
S24151S,"Drainage of Left Finger Phalanx with Drainage Device, Open Approach"
K851,"Release Buttock Subcutaneous Tissue and Fascia, Percutaneous Approach"
I7103,"Reposition Right Pelvic Bone with External Fixation Device, Open Approach"
T63621A,"Removal of Radioactive Element from Left Breast, Via Natural or Artificial Opening"
S82126E,"Removal of Autologous Tissue Substitute from Right Glenoid Cavity, Percutaneous Endoscopic Approach"
S97109,"Extirpation of Matter from Right Popliteal Artery, Bifurcation, Open Approach"
S3730XD,Traction of Right Upper Leg
I97610,"Destruction of Right Hand Muscle, Percutaneous Approach"
T8249XA,"Extirpation of Matter from Right Subclavian Artery, Bifurcation, Percutaneous Approach"
T8212,"Beam Radiation of Thymus using Electrons, Intraoperative"
S61012S,"Supplement Left Main Bronchus with Synthetic Substitute, Percutaneous Endoscopic Approach"
S61322S,"Release Left Foot Muscle, Percutaneous Endoscopic Approach"
W172XXD,"Drainage of Left Main Bronchus, Percutaneous Endoscopic Approach"
S62338G,Fluoroscopy of Cervical Facet Joint(s) using Low Osmolar Contrast
T63011D,"Bypass Right Fallopian Tube to Uterus with Synthetic Substitute, Open Approach"
Y93J1,"Drainage of Sternum, Percutaneous Endoscopic Approach, Diagnostic"
V0400,"Extirpation of Matter from Thoracolumbar Vertebral Disc, Percutaneous Endoscopic Approach"
T61773D,"Occlusion of Left Parotid Duct with Intraluminal Device, Open Approach"
S32512B,Beam Radiation of Radius/Ulna using Electrons
T83718A,"Replacement of Left Cephalic Vein with Synthetic Substitute, Open Approach"
I82442,Beam Radiation of Duodenum using Photons <1 MeV
S5290XM,"Bypass Left Common Iliac Vein to Lower Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
M89721,"Release Head and Neck Tendon, Percutaneous Approach"
Y35492A,"Transfusion of Nonautologous Serum Albumin into Peripheral Vein, Percutaneous Approach"
G373,"Chiropractic Manipulation of Rib Cage, Mechanically Assisted"
X822XXD,Beam Radiation of Neck Skin using Neutron Capture
S82044Q,"Revision of Synthetic Substitute in Right Shoulder Joint, External Approach"
K5900,"Insertion of Infusion Device into Right Hand, Percutaneous Endoscopic Approach"
S0282XA,"Insertion of Intraluminal Device into Right Common Iliac Artery, Percutaneous Approach"
O4191,"Restriction of Abdominal Aorta, Percutaneous Approach"
S12500G,"Introduction of Platelet Inhibitor into Central Artery, Percutaneous Approach"
T550X3,"Supplement Right Pulmonary Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
T61784S,"Removal of Synthetic Substitute from Ureter, Percutaneous Approach"
S72435E,"Release Right Upper Femur, Percutaneous Approach"
N6092,"Excision of Right External Iliac Vein, Percutaneous Approach, Diagnostic"
O4301,"Insertion of Intraluminal Device into Right Renal Artery, Open Approach"
M0006,"Alteration of Female Perineum with Synthetic Substitute, Open Approach"
Y3591XD,"Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach"
S42224,"Revision of Nonautologous Tissue Substitute in Lower Intestinal Tract, Percutaneous Endoscopic Approach"
S62644A,"Insertion of Intraluminal Device into Superior Mesenteric Vein, Open Approach"
C11,"Release Right Clavicle, Open Approach"
M21832,"Fragmentation in Cecum, Via Natural or Artificial Opening"
S02650S,"Bypass Stomach to Jejunum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S83195D,"Repair Tongue, External Approach"
E670,"Destruction of Left Temporal Bone, Open Approach"
V875XXD,"Dilation of Right Internal Iliac Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach"
S52399R,"Restriction of Splenic Vein with Intraluminal Device, Percutaneous Approach"
T3372XS,"Removal of Radioactive Element from Neck, Percutaneous Endoscopic Approach"
S62025B,Fluoroscopy of Right Lung
W28XXXD,"Revision of Internal Fixation Device in Right Metacarpophalangeal Joint, Percutaneous Approach"
M79602,"Dilation of Right Radial Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
M5186,"Excision of Left Upper Arm Skin, External Approach, Diagnostic"
S85119S,"Monitoring of Temperature, External Approach"
M62241,"Restriction of Right Peroneal Artery, Percutaneous Approach"
I70518,"Drainage of Left Upper Leg Subcutaneous Tissue and Fascia with Drainage Device, Open Approach"
S51031D,"Excision of Accessory Sinus, Open Approach"
I620,"Transfer Median Nerve to Median Nerve, Percutaneous Endoscopic Approach"
S0154,"Supplement Left Internal Iliac Artery with Autologous Tissue Substitute, Open Approach"
M0686,"Restriction of Right Lower Extremity Lymphatic, Open Approach"
S82223G,Traction of Neck using Traction Apparatus
T6402XA,"Drainage of Uterus with Drainage Device, Open Approach"
T71224S,"Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach"
I87001,"Computerized Tomography (CT Scan) of Left Tracheobronchial Tree using High Osmolar Contrast, Unenhanced and Enhanced"
S27399A,"Insertion of External Fixation Device into Coccyx, Open Approach"
C862,"Release Perineum Tendon, Percutaneous Endoscopic Approach"
S0422XA,"Revision of Autologous Tissue Substitute in Lumbosacral Disc, Open Approach"
M90871,"Excision of Right Hand Muscle, Percutaneous Approach, Diagnostic"
S62516G,"Repair Left 4th Toe, External Approach"
L852,"Drainage of Right Axilla, Percutaneous Approach"
P156,"Excision of Bilateral Adrenal Glands, Percutaneous Approach, Diagnostic"
H02514,"Restriction of Right Internal Iliac Artery with Intraluminal Device, Percutaneous Approach"
T5892XD,"Removal of Drainage Device from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach"
T50A91S,"Insertion of Monitoring Device into Hepatobiliary Duct, Open Approach"
E0839,"Drainage of Aortic Lymphatic, Percutaneous Endoscopic Approach"
T22612S,"Removal of Feeding Device from Stomach, Open Approach"
S82861,"Dilation of Left Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
T451X,"Resection of Left Trunk Bursa and Ligament, Percutaneous Endoscopic Approach"
V4969,"Bypass Right Anterior Chamber to Sclera, Percutaneous Approach"
O2902,"Release Left Common Iliac Artery, Open Approach"
T50B96S,"Insertion of Hybrid External Fixation Device into Left Tibia, Percutaneous Endoscopic Approach"
R29723,"Extirpation of Matter from Minor Salivary Gland, Percutaneous Approach"
T8369XA,"Supplement Lesser Omentum with Synthetic Substitute, Open Approach"
Z9149,"Release Right Ventricle, Open Approach"
I70762,"Magnetic Resonance Imaging (MRI) of Left Upper Extremity Veins using Other Contrast, Unenhanced and Enhanced"
H9542,"Alteration of Right Knee Region with Synthetic Substitute, Percutaneous Endoscopic Approach"
T590X3A,"Supplement Right Lower Arm and Wrist Muscle with Autologous Tissue Substitute, Open Approach"
V8062XD,"Excision of Right Kidney Pelvis, Via Natural or Artificial Opening, Diagnostic"
S62303D,"Release Left Shoulder Tendon, External Approach"
S40921A,"Occlusion of Colic Vein with Intraluminal Device, Percutaneous Approach"
S42361B,"Excision of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic"
T5894,"Supplement Inferior Vena Cava with Synthetic Substitute, Open Approach"
M1A2410,Low Dose Rate (LDR) Brachytherapy of Liver using Other Isotope
S82301Q,"Excision of Left Carpal, Percutaneous Endoscopic Approach, Diagnostic"
S62111D,"Excision of Coccygeal Glomus, Open Approach, Diagnostic"
S20121A,"Revision of Drainage Device in Scrotum and Tunica Vaginalis, External Approach"
J95812,"Transfer Oculomotor Nerve to Glossopharyngeal Nerve, Open Approach"
S72456K,"Bypass Ileum to Cecum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
Q7120,"Destruction of Right Greater Saphenous Vein, Percutaneous Endoscopic Approach"
S42344A,"Supplement Right Pelvic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach"
S01542S,"Bypass Right External Iliac Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach"
V171XXA,"Dilation of Left Subclavian Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
T1739,"Occlusion of Duodenum, Open Approach"
J154,"Release Thoracolumbar Vertebral Joint, External Approach"
Y992,"Release Glossopharyngeal Nerve, Open Approach"
T465X1S,Plain Radiography of Lumbar Spine
W3300XS,"Replacement of Soft Palate with Synthetic Substitute, Open Approach"
S22079B,"Inspection of Left Lower Extremity, Percutaneous Endoscopic Approach"
T50996,"Excision of Left Diaphragm, Percutaneous Endoscopic Approach"
E133553,"Revision of Neurostimulator Lead in Peripheral Nerve, External Approach"
N35114,"Extirpation of Matter from Right Kidney Pelvis, Open Approach"
M1028,"Replacement of Left Maxilla with Synthetic Substitute, Open Approach"
W5602XA,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Negative Airway Pressure"
M84511,"Removal of Infusion Device from Upper Jaw, Open Approach"
O0951,"Reposition Left Metatarsal-Phalangeal Joint with External Fixation Device, Percutaneous Approach"
S632,"Dilation of Right Foot Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
S90519,"Bypass Right Face Vein to Upper Vein with Autologous Venous Tissue, Open Approach"
M5080,"Occlusion of Superior Vena Cava with Extraluminal Device, Open Approach"
I6343,"Drainage of Bilateral Epididymis with Drainage Device, Percutaneous Approach"
T628X2,High Dose Rate (HDR) Brachytherapy of Prostate using Californium 252 (Cf-252)
V342XXS,"Revision of Synthetic Substitute in Finger Nail, External Approach"
S36116,"Fusion of 8 or more Thoracic Vertebral Joints, Posterior Approach, Posterior Column, Percutaneous Approach"
S92356S,"Repair Right Metatarsal-Tarsal Joint, Percutaneous Approach"
B0860,"Release Left Shoulder Tendon, Percutaneous Approach"
S51809,"Extirpation of Matter from Cervical Vertebral Disc, Open Approach"
H3503,"Supplement Right Foot Vein with Synthetic Substitute, Percutaneous Approach"
I87001,Beam Radiation of Testis using Neutrons
S65119S,Computerized Tomography (CT Scan) of Bilateral Lungs
S42366P,"Destruction of Left Thorax Muscle, Open Approach"
I87019,Removal of Bandage on Right Lower Arm
T63621A,"Destruction of Right Upper Leg Tendon, Percutaneous Approach"
S82861R,"Resection of Bladder, Open Approach"
O649XX3,"Destruction of Anal Sphincter, Percutaneous Approach"
S52131F,"Drainage of Left Thorax Muscle, Percutaneous Endoscopic Approach, Diagnostic"
S364,"Magnetic Resonance Imaging (MRI) of Fetal Thorax using Other Contrast, Unenhanced and Enhanced"
G404,"Drainage of Right Lesser Saphenous Vein with Drainage Device, Percutaneous Endoscopic Approach"
S02642S,"Destruction of Celiac Artery, Percutaneous Endoscopic Approach"
M84474G,"Drainage of Right Lower Lung Lobe with Drainage Device, Percutaneous Approach"
S59192,"Supplement Right Anterior Tibial Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
G4340,"Occlusion of Right Vertebral Vein, Percutaneous Approach"
H59329,"Insertion of Infusion Device into Left Greater Saphenous Vein, Percutaneous Approach"
S3533,"Reposition Left Finger Phalangeal Joint, External Approach"
M08969,"Supplement Right Metatarsal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
T194XXA,"Release Left Internal Jugular Vein, Percutaneous Endoscopic Approach"
V170XXA,"Repair Left 4th Toe, Percutaneous Approach"
S83522A,"Excision of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach"
N930,"Bypass Abdominal Aorta to Celiac Artery with Autologous Arterial Tissue, Open Approach"
Q645,"Excision of Right Zygomatic Bone, Open Approach, Diagnostic"
T541X2D,"Drainage of Left Neck Lymphatic, Percutaneous Endoscopic Approach, Diagnostic"
T8029XA,"Transfusion of Nonautologous Antihemophilic Factors into Central Artery, Percutaneous Approach"
S85132D,"Insertion of Endobronchial Valve into Right Lower Lobe Bronchus, Percutaneous Approach"
T63452D,"Repair Oculomotor Nerve, Percutaneous Endoscopic Approach"
H710,"Bypass Right Femoral Artery to Popliteal Artery, Open Approach"
V00318A,"Drainage of Radial Nerve with Drainage Device, Percutaneous Approach"
S20219A,"Fragmentation in Left Hepatic Duct, External Approach"
I69362,"Dilation of Left Pulmonary Artery with Intraluminal Device, Open Approach"
T2036XA,"Drainage of Appendix, Via Natural or Artificial Opening Endoscopic"
M1A0290,"Dilation of Left Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
T43292S,"Alteration of Neck with Synthetic Substitute, Open Approach"
M01X11,"Supplement Left Hip Joint, Femoral Surface with Liner, Open Approach"
S78122D,"Release Right Lung, Via Natural or Artificial Opening Endoscopic"
V968,"Bypass Thoracic Aorta, Descending to Carotid with Nonautologous Tissue Substitute, Open Approach"
S4430XD,"Bypass Right Axillary Artery to Left Lower Leg Artery, Open Approach"
M0208,"Replacement of Hair with Autologous Tissue Substitute, External Approach"
Z800,"Replacement of Right Trunk Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
T41294S,"Supplement Left Foot Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
S72041Q,"Repair Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic"
S790,"Occlusion of Right Innominate Vein, Percutaneous Approach"
V847XXD,"Chiropractic Manipulation of Thoracic Region, Indirect Visceral"
S42013B,"Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
Z8279,"Dilation of Left Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
B787,"Repair Left Anterior Tibial Artery, Percutaneous Approach"
S22041K,"Excision of Mediastinum, Percutaneous Endoscopic Approach"
M0887,"Excision of Bilateral Ovaries, Via Natural or Artificial Opening"
K411,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
O3121X0,"Insertion of Limb Lengthening External Fixation Device into Left Femoral Shaft, Open Approach"
H15812,"Drainage of Left Thorax Bursa and Ligament with Drainage Device, Open Approach"
J301,"Fusion of 2 to 7 Thoracic Vertebral Joints with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach"
S8292XN,"Introduction of Other Diagnostic Substance into Upper GI, Percutaneous Approach"
Y35391S,"Insertion of Monitoring Device into Gallbladder, Percutaneous Approach"
M25322,"Drainage of Buccal Mucosa, Percutaneous Approach, Diagnostic"
O2333,"Revision of Nonautologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach"
S43303,"Bypass Middle Esophagus to Stomach with Nonautologous Tissue Substitute, Open Approach"
B086,"Replacement of Right Upper Arm Tendon with Nonautologous Tissue Substitute, Open Approach"
S958,"Repair Right Hepatic Duct, Via Natural or Artificial Opening"
S46809,"Revision of Autologous Tissue Substitute in Cervicothoracic Vertebral Joint, Open Approach"
T17310D,"Introduction of Liquid Brachytherapy Radioisotope into Ear, External Approach"
R492,"Fusion of Lumbar Vertebral Joint with Nonautologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach"
C865,"Revision of Internal Fixation Device in Right Tarsal Joint, Percutaneous Approach"
M4146,"Revision of Synthetic Substitute in Cerebral Ventricle, Percutaneous Approach"
S42463G,"Supplement Left Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
S99829D,"Imaging, Male Reproductive System, Computerized Tomography (CT Scan)"
S55119D,"Excision of Olfactory Nerve, Percutaneous Approach"
T38891,"Replacement of Left Ankle Tendon with Nonautologous Tissue Substitute, Open Approach"
S72451R,"Drainage of Right Lacrimal Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic"
